GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification,com.ttb.fleet.notification.common.dto,ApiStatusOut,0,24,0,0,0,10,0,7,0,7
notification,com.ttb.fleet.notification.common.dto,ResponseOut,0,27,0,0,0,9,0,5,0,5
notification,com.ttb.fleet.notification.common.dto,HeaderIn,52,0,0,0,22,0,15,0,15,0
notification,com.ttb.fleet.notification.common.utils,StopWatch,0,16,0,0,0,5,0,2,0,2
notification,com.ttb.fleet.notification.sms.service.Impl,smsServiceImpl,31,13,2,0,8,3,2,2,1,2
notification,com.ttb.fleet.notification,NotificationApplication,5,3,0,0,2,1,1,1,1,1
notification,com.ttb.fleet.notification.email.service.Impl,emailServiceImpl,4,3,0,0,2,1,2,1,2,1
notification,com.ttb.fleet.notification.email.dto,EmailOut,9,15,0,0,3,7,3,4,3,4
notification,com.ttb.fleet.notification.email.dto,EmailIn,4,27,0,0,2,11,1,8,1,8
notification,com.ttb.fleet.notification.email.controller,emailController,16,172,0,6,5,35,0,6,0,3
notification,com.ttb.fleet.notification.sms.dto,SmsIn,31,0,0,0,13,0,9,0,9,0
notification,com.ttb.fleet.notification.sms.dto,SmsOut,24,0,0,0,10,0,7,0,7,0
notification,com.ttb.fleet.notification.sms.controller,smsController,132,7,0,0,23,2,2,1,2,1
notification,com.ttb.fleet.notification.entity,Message,425,0,78,0,12,0,63,0,24,0
